,codigo,cat,nombre,ubicacion,area_ha,interseccion_ha,interseccion_porc,lote_petrolero,empresa,pais
0,ACR10,Área de Conservación Regional,Alto Nanay- Pintuyacu Chambira,Loreto,954635.484423,644642.296092,67.52758583,"F38-19, SM33-17", ,Perú
1,RC03,Reserva Comunal,Amarakaeri,Madre de Dios,403813.819306,205228.42664,50.82253673,SM53-19, ,Perú
2,ACR01,Área de Conservación Regional,Cordillera Escalera,San Martín,149869.689812,147363.7604,98.32792781,103,"REPSOL EXPLORACION PERU, SUCURSAL DEL PERU",Perú
3,ACR06,Área de Conservación Regional,Imiria,Ucayali,135737.520284,135737.3694,99.99988884,SM 05-17, ,Perú
4,RC05,Reserva Comunal,Machiguenga,Cusco,218905.630109,125332.138857,57.25395861,"57,58,F42-19",CNPC PERU S.A.,Perú
5,BP04,Bosque de Protección,San Matias-San Carlos,Pasco,148290.961657,98256.282169,66.25911726,107108,"PLUSPETROL E&P S.A , PETROLIFERA PETROLEUM DEL PERU S.R.L",Perú
6,RC07,Reserva Comunal,Tuntanain,Amazonas,94986.613855,46148.716555,48.58444225,116,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
7,RN14,Reserva Nacional,Pucacuro,Loreto,637953.834003,39816.122272,6.241223134,39,PERENCO PERU PETROLEUM LIMITED SUCURSAL DEL PERU,Perú
8,RC04,Reserva Comunal,Ashaninka,Junín y Cusco,184468.38292,35283.73464,19.12725318,"108,F42-19","PLUSPETROL E&P S.A. , REPSOL EXPLORATION PERÚ",Perú
9,RN08,Reserva Nacional,Pacaya-Samiria,Loreto,2170247.4513,29999.710141,1.382317492,8,PLUSPETROL NORTE S.A.,Perú
10,RC01,Reserva Comunal,Yanesha,Pasco,34340.370034,8895.782558,25.90473705,107,PETROLIFERA PETROLEUM DEL PERU S.R.L,Perú
11,ACR19,Área de Conservación Regional,Vista Alegre-Omia,Amazonas,48944.508115,2308.801038,4.717181001,LVIII,YPF E & PERU S.A.C,Perú
12,PN07,Parque Nacional,Yanachaga-Chemillén,Pasco,113732.343586,39.017752,0.03430664556,107,PETROLIFERA PETROLEUM DEL PERU S.R.L,Perú
13,PN09,Parque Nacional,Cordillera Azul,"San Martín, Loreto, Ucayali y Huánuco",1353190.84548,1.532332,0.000113238425,LXIII,REPSOL EXPLORACIÓN S.A.,Perú
14,,Reserva Forestal (Ley2a. de 1959),ÁREAS CON PREVIA DECISIÓN DE ORDENAMIENTO,GUAVIARE,2131394.44112,498335.197198,23.38071206,"CPE-8, RESERVADA ON","AGENCIA NACIONAL DE HIDROCARBUROS, TALISMAN COLOMBIA OIL & GAS LTD",Colombia
15,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,1048805.38568,330094.419121,31.47337186,"DISPONIBLE ON, SAMICHAY B, SANGRE TORO","AGENCIA NACIONAL DE HIDROCARBUROS, ECOPETROL S.A., SHONA ENERGY (COLOMBIA) LIMITEL",Colombia
16,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,285402.757743,284140.770852,99.55782246,"DISPONIBLE ON, SAMICHAY A, TACACHO","AGENCIA NACIONAL DE HIDROCARBUROS, AMERISUR EXPLORACION COLOMBIA LIMITED, ECOPETROL S.A.",Colombia
17,,Reserva Forestal (Ley2a. de 1959),A,"GUAINIA, GUAVIARE",499315.765127,216047.163256,43.26864448,CPE-8,TALISMAN COLOMBIA OIL & GAS LTD,Colombia
18,,Reserva Forestal (Ley2a. de 1959),A,CAQUETA,245125.492541,206358.787856,84.18495592,DISPONIBLE ON,AGENCIA NACIONAL DE HIDROCARBUROS,Colombia
19,,Reserva Forestal (Ley2a. de 1959),B,CAQUETA,185382.910067,185382.910054,99.99999999,"DISPONIBLE ON, RESERVADA ON","AGENCIA NACIONAL DE HIDROCARBUROS, ECOPETROL S.A.",Colombia
