,cat,nombre,estado,area_ha,interseccion_ha,interseccion_porc,region,lote_petrolero,empresa,pais
0,Comunidad Nativa,José Olaya,Titulada,88943.839083,88943.827389,99.99998685,Loreto,SM50-18,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
1,Comunidad Nativa,12 de Octubre,Titulada,90145.179643,88068.888891,97.6967257,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
2,Comunidad Nativa,Bufeo Pozo,Solicitud de Ampliación,87112.534906,87112.534946,100.0,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
3,Comunidad Nativa,Kuyuntsa,Titulada,85977.968725,85977.968725,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
4,Comunidad Nativa,Belén,Titulada,79588.212901,79588.212901,100.0,Loreto,SM50-18,PLUSPETROL NORTE S.A.,Perú
5,Comunidad Nativa,Paiche Playa,Titulada,79992.969842,76992.761258,96.24940968,Loreto,SM50-18,,Perú
6,Comunidad Nativa,Antamite - Tierra Prometida,Solicitud de Titulación,76211.238973,76105.397042,99.86112031,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
7,Comunidad Nativa,"Atahualpa y Anx Sta Rosa, Sachapapa, Napuruka, Palestina, Nvo Belén, Nvo Soledad, Nazareth, Huascar",Titulada,79614.55622,72903.782845,91.57092158,Loreto,SM24-17,,Perú
8,Comunidad Nativa,"Hortencia Cocha y Anexos San Fernando, Chimara, Nuevo Progreso y Nuevo Ucayali",Titulada,70647.845344,70647.842769,99.99999636,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
9,Comunidad Nativa,Mencoriari,Titulada,62801.974864,62801.974864,100.0,Ucayali,LXVI,HUNT OIL COMPAÑY OF PERÚ,Perú
10,Comunidad Nativa,Puerto Pijuayal,Titulada,59427.722581,59427.722581,100.0,Loreto,SM36-17,GEOPARK PERU S.A.C,Perú
11,Comunidad Nativa,Pandora  y Anexo Sinchi Roca,Titulada,58281.704744,58281.704744,100.0,Loreto,SM24-17,,Perú
12,Comunidad Nativa,Nueva Esperanza y Anexos,Titulada,54809.859192,54809.859194,100.0,Loreto,SM43-17,,Perú
13,Comunidad Nativa,Nueva Yarina y Anexos,Titulada,54465.512022,54465.512022,100.0,Loreto,SM26-17,,Perú
14,Comunidad Nativa,Betania,Titulada,70535.111151,52222.001044,74.03688772,Loreto,192,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
15,Comunidad Nativa,Antioquia,Titulada,50084.161083,50084.161083,100.0,Loreto,SM28-17,PACIFIC STRATUS ENERGY DEL PERU S.A.,Perú
16,Comunidad Nativa,Nueva Shahuaya,Titulada,46515.02387,46469.79821,99.90277193,Ucayali,F01-17,,Perú
17,Comunidad Nativa,Kushilla Anexo Santa María,Titulada,46466.272747,46466.272747,100.0,Loreto,SM36-17,,Perú
18,Comunidad Nativa,San Juan de Inuya,Titulada,45809.330249,45607.000991,99.55832304,Ucayali,LXVIII,HUNT OIL COMPANY OF PERÚ,Perú
19,Comunidad Nativa,Nueva York,Titulada,44865.443261,44865.443261,100.0,Loreto,SM30-17,,Perú
20,Comunidad Nativa,Cametsari Quipatsi,Titulada,43566.787196,43566.787196,100.0,Ucayali,SM52-19,,Perú
